contentId,Top1,Top2,Top3,Top4,Top5
1233935898842140014,-5843518165523212471,6031953227014493100,-1138633255366005559,-1138633255366005559,-8591127493017117985
-8202212195240926680,6831941111848480366,-3179358869851478234,-1676378465482420452,-6340141548068597572,-5829979886567267504
8748370453256790422,7419040071212162906,1797385737206265555,4607279316199873708,-5521549171704079872,-8717945432162716060
5087084654882097891,-5690023155612846030,231281690254211527,-2323511129839590090,-2167839778474325326,2215773447123360543
-8996656559398843485,5779887740609126631,-5082274522455747241,-1452340812018195881,231281690254211527,-5690023155612846030
-2164628725543527116,6678691743269420670,1328618437884612347,-9033211547111606164,-8068727428160395745,5258604889412591249
2515874237935914763,1971653634364577968,231281690254211527,-2323511129839590090,4815632823882298534,-2167839778474325326
-1606909838151129701,-6340141548068597572,5929055844564382383,-8900113512825364282,6892866957050839435,-4070929606295451361
5817939718364925129,8946250624470221174,-7442296890640709658,5967886403500658324,2628816849077589497,5817939718364925129
5817939718364925129,8946250624470221174,-7442296890640709658,5967886403500658324,2628816849077589497,5817939718364925129
2628816849077589497,8946250624470221174,-7442296890640709658,5967886403500658324,2628816849077589497,5817939718364925129
-847494979958007433,-7388035385087807288,-115892576593938933,8195862936106508846,-6642751159620064055,215332765550420709
-7527881206365368,-879594538384021068,1115750778137998115,-1138633255366005559,-1138633255366005559,-5082274522455747241
5949788789046720741,1751822544912242581,-3870325027932266414,5410293063635507608,4780818054552370624,-115909536143817330
3467834993860080188,215332765550420709,-5920475612630001479,-2097075598039554565,-8992201526199201450,-3224698078244963479
660451400045043370,-1878569380455769122,-4762897581600184489,-6739959707791598779,8289800212949675494,8289800212949675494
-4280604324733069853,3750772607644674028,7581009799961380333,3801658304588389996,1220948775534529013,-6884335507424704154
524776334673868069,-9033211547111606164,-6244754482621048226,5258604889412591249,-8068727428160395745,-532999578436827210
5842191581670322333,7424795099560672335,-7534240757267992657,-5954724412982705962,3407455496422791860,6097677219931837830
-5658245291907121574,8836508987743809103,-3058031327323357308,5688444173453700360,1328618437884612347,428486625959995206
7182931494487573654,-2323511129839590090,722931447608069342,-2167839778474325326,231281690254211527,4909630283317268181
5761988486867612282,-7529178973676767391,6099026883115865746,-5829402940194444779,-1452340812018195881,-6739959707791598779
-8047634385511625486,6034099213718885791,-7130425546996181071,-6642751159620064055,-2976309714446243509,826748584447376099
826748584447376099,4895396506368139469,-5283011611531067471,-4640750981890093183,-2400879112398974660,-7130425546996181071
6678691743269420670,5258604889412591249,-3751249597609107201,-253149055249888078,-6570327055377820618,-5637143900506554933
1990052153136096105,-5608160619992456731,3618271604906293310,-2976309714446243509,-6728844082024523434,1184320069221244535
1184320069221244535,-7384231993217222764,3407455496422791860,-2976309714446243509,-6728844082024523434,1990052153136096105
5854206600849997966,-7762049078455894395,-14569272361926584,-3058031327323357308,-6642751159620064055,1469580151036142903
1971653634364577968,-2323511129839590090,4815632823882298534,231281690254211527,-5082274522455747241,1115750778137998115
-6380034335041404646,-4270702541777554377,-8286289711960957081,962287586799267519,6669026579073415958,-7534240757267992657
7013665235990336340,7039033478836344543,-2167839778474325326,-5843518165523212471,-6761163882540291832,4909630283317268181
-427385793606723821,-1676378465482420452,-3060116862184714437,6222001809679591440,8631616594020837056,5929055844564382383
8416004328454490172,1469580151036142903,-14569272361926584,4675505028897335428,-6642751159620064055,8416004328454490172
8416004328454490172,1469580151036142903,-14569272361926584,4675505028897335428,-6642751159620064055,8416004328454490172
-2890958311805113955,-3060116862184714437,-3951274083288934897,-7525512143002603676,-9086955082453789880,5395868751435718725
5779887740609126631,-879594538384021068,-5690023155612846030,231281690254211527,-5082274522455747241,1115750778137998115
378386436485699053,1115750778137998115,4815632823882298534,-5082274522455747241,-6761163882540291832,-5843518165523212471
-8800029253812071912,-7534240757267992657,-8286289711960957081,962287586799267519,6669026579073415958,-3387298624573211014
